InvoiceNo,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
2,CHOCOLATE MANICHO 28g,2,17/09/2020,0.4185,286,Ecuador
2,SUAVIZANTE AROMATEL LAVANDA MORA DOYPACK 425ml,1,17/09/2020,0.9951,286,Ecuador
3,KINDER JOY 20g,1,17/09/2020,1.07,552,Ecuador
3,MUSLOS DE POLLO PLATO x kg,0.525,17/09/2020,4.18,552,Ecuador
4,TRUCHA PLATO x kg,0.425,17/09/2020,5.8032,354,Ecuador
4,FRUTOS SECOS DELICIA 50g,1,17/09/2020,0.9114,354,Ecuador
4,POLLO PELADO CON MENUDENCIA x kg,2.1,17/09/2020,2.79,354,Ecuador
6,AZUCAR MORENA SAN CARLOS 1kg,1,17/09/2020,0.92,786,Ecuador
8,MUSLOS DE POLLO PLATO x kg,0.56,17/09/2020,4.0546,268,Ecuador
8,GALLETA DAISY 100g,1,17/09/2020,0.6499,268,Ecuador
8,CHOCOLATE KITKAT 16.7g,3,17/09/2020,0.433,268,Ecuador
8,JAMON AMERICANO JURIS 100g,1,17/09/2020,0.776,268,Ecuador
8,GASEOSA COCA COLA 300ml,1,17/09/2020,0.4365,268,Ecuador
8,PAN INTEGRAL SUPAN 650g,1,17/09/2020,2.328,268,Ecuador
8,LOMO FALDA DE RES AL VACIO x kg,0.34,17/09/2020,8.9337,268,Ecuador
8,BROWNIE MIX DULCE COMPANY 85g,1,17/09/2020,0.7566,268,Ecuador
8,TOSTADA FRANCESA MANTEQUILLA 120g,1,17/09/2020,1.067,268,Ecuador
8,TOALLA HIGENICA KOTEX NORMAL x10,1,17/09/2020,1.1155,268,Ecuador
8,AFEITADORA SCHICK XTREME 3u,1,17/09/2020,0.8245,268,Ecuador
8,YUCA PELADA AL VACIO x kg,0.395,17/09/2020,1.1155,268,Ecuador
8,AVENA NUTRI COD. 71 200ml,1,17/09/2020,0.3987,268,Ecuador
8,YOGURT TONI MIX DURAZNO 190g,2,17/09/2020,0.8245,268,Ecuador
8,QUESO FRESCO FRISKA 500g,1,17/09/2020,2.91,268,Ecuador
8,MARGARINA GIRASOL 250g,1,17/09/2020,0.873,268,Ecuador
8,PLATANO MADURO x kg,0.65,17/09/2020,0.6305,268,Ecuador
8,TOMATE RIÑON x kg,1.27,17/09/2020,1.0476,268,Ecuador
8,PAPAYA HAWAIANA x kg,1.27,17/09/2020,0.7954,268,Ecuador
10,YUCA PELADA x kg,1.7,17/09/2020,0.79,656,Ecuador
10,CEBOLLA ROJA PELADA GS x kg,1.07,17/09/2020,1.05,656,Ecuador
11,TRUCHA PLATO x kg,0.41,17/09/2020,5.8032,589,Ecuador
12,LECHUGA CRESPA HORTANA 200g,1,17/09/2020,0.95,773,Ecuador
12,GALLETA OREO ORIGINAL 36g,1,17/09/2020,0.31,773,Ecuador
14,CAFE NESCAFE TRADICION SOBRE 25g ,1,17/09/2020,0.66,301,Ecuador
14,COCOA UNIVERSAL 150g,1,17/09/2020,0.85,301,Ecuador
14,ACEITE GIRASOL 500ml,1,17/09/2020,1.78,301,Ecuador
14,AJO ILE PASTA VASO 240g,1,17/09/2020,0.89,301,Ecuador
14,YOGURT TONI MIX BOLITAS DE COLORES 190g (VABO),2,17/09/2020,0.84,301,Ecuador
14,AGUACATE x kg,0.27,17/09/2020,2.05,301,Ecuador
14,FRUTILLA ENVASE x Kg,0.505,17/09/2020,2.88,301,Ecuador
14,AJI GS x kg,0.01,17/09/2020,1.5,301,Ecuador
16,POLLO PELADO CON MENUDENCIA x kg,2.38,17/09/2020,3,792,Ecuador
16,QUESO NANDITO 500g,1,17/09/2020,4.08,792,Ecuador
17,ACEITE LA FAVORITA 2Lt,1,17/09/2020,3.67,659,Ecuador
17,LECHE NUTRI c13 ENTERA FUNDA 1Lt,1,17/09/2020,0.9,659,Ecuador
17,HUEVOS RUNA x12 YERBA BUENA,1,17/09/2020,3.56,659,Ecuador
17,PAN HAMBURGUESA SUPAN x 8 U,1,17/09/2020,2.25,659,Ecuador
17,YOGURT CHIVERIA FRUTILLA 1750g,1,17/09/2020,5,659,Ecuador
17,MARGARINA GIRASOL 250g,1,17/09/2020,0.9,659,Ecuador
18,RICACAO NESTLE 440g,1,17/09/2020,2.35,772,Ecuador
18,PAPAYA CUBANA x kg,2.09,17/09/2020,0.94,772,Ecuador
18,CEBOLLIN HOJA GS ATADO ± 250gr,1,17/09/2020,0.33,772,Ecuador
18,BROCOLI x kg,0.92,17/09/2020,1.3,772,Ecuador
18,FRUTILLA ENVASE x Kg,0.49,17/09/2020,2.88,772,Ecuador
18,CEBOLLA ROJA PELADA GS x kg,1.25,17/09/2020,1.05,772,Ecuador
18,MANZANA ROYAL x kg,0.54,17/09/2020,1.81,772,Ecuador
18,NUECES 100g,2,17/09/2020,1.49,772,Ecuador
18,ZAPALLO RODAJAS x kg,1.13,17/09/2020,0.81,772,Ecuador
18,MELLOCO PINTADO AL VACIO x kg,0.6,17/09/2020,1.74,772,Ecuador
18,CHORIZO PAISA BOTON ITALIANA EMP 300g,1,17/09/2020,3.13,772,Ecuador
18,YOGURT TONI FRUTILLA 1.7ml,1,17/09/2020,5.1,772,Ecuador
18,DETERGENTE DEJA LIMON BICARBONATO 1.2kg,1,17/09/2020,3.13,772,Ecuador
18,TOMATE RIÑON x kg,1.11,17/09/2020,1.08,772,Ecuador
18,LECHE NUTRI c13 ENTERA FUNDA 1Lt,2,17/09/2020,0.9,772,Ecuador
18,GALLETA OREO ORIGINAL 36g,2,17/09/2020,0.31,772,Ecuador
19,YUCA PELADA x kg,1.14,17/09/2020,0.79,612,Ecuador
19,ALMENDRAS 100GR,1,17/09/2020,1.62,612,Ecuador
20,CHAMPIÑONES GUIPI REBANADOS 400g,1,17/09/2020,4.08,486,Ecuador
20,PAPEL HIGIENICO FAMILIA AROMA X 6UND,1,17/09/2020,1.29,486,Ecuador
22,SALSA DE TOMATE LOS ANDES GALON,1,17/09/2020,7.118,86,Ecuador
22,PLATANO VERDE x kg,2.66,17/09/2020,0.65,86,Ecuador
22,BANANO FILIPINO(GUINEO 5-7) x kg,2.08,17/09/2020,0.53,86,Ecuador
22,TOMATE RIÑON x kg,1.46,17/09/2020,1.08,86,Ecuador
22,CEBOLLA PERLA PELADA GS x kg,1.43,17/09/2020,1.04,86,Ecuador
22,LIMON MEYER x kg,1.19,17/09/2020,0.73,86,Ecuador
22,PAN MANITOS MINI EL HORNO,1,17/09/2020,1.3,86,Ecuador
22,MANZANA ROJA x kg,0.56,17/09/2020,1.79,86,Ecuador
22,MANZANA VERDE x kg,0.57,17/09/2020,1.82,86,Ecuador
22,AJO SECO x kg,0.56,17/09/2020,3.79,86,Ecuador
22,MELLOCO PINTADO AL VACIO x kg,0.56,17/09/2020,1.74,86,Ecuador
22,CULANTRO ATADO ± 200gr,1,17/09/2020,0.33,86,Ecuador
22,NABO (CHACRA) ATADO ± 350gr,1,17/09/2020,0.33,86,Ecuador
22,LECHUGA REPOLLO x kg,0.97,17/09/2020,0.8,86,Ecuador
22,BROCOLI x kg,0.47,17/09/2020,1.3,86,Ecuador
22,PASTA DENTAL COLGATE TRIPLE ACCION 150ml,1,17/09/2020,2.74,86,Ecuador
22,CEPILLO DENTAL NIÑA MATRIX BEAUTY,1,17/09/2020,0.45,86,Ecuador
22,PATATAS PALITOS 230g,1,17/09/2020,1.95,86,Ecuador
22,QUESO NANDITO 500g,1,17/09/2020,4.08,86,Ecuador
22,AJO ILE POLVO SOBRE 50g,1,17/09/2020,0.42,86,Ecuador
22,ACONDICIONADOR BALLERINA MANZANILLA 900ml,1,17/09/2020,2.7,86,Ecuador
22,PAPEL HIGIENICO SCOTT MAXI ROLLO x 12,1,17/09/2020,8.78,86,Ecuador
23,FLAN ROYAL DE VAINILLA 80g,2,17/09/2020,1.3113,746,Ecuador
24,ACELGA ATADO ± 300g,1,17/09/2020,0.33,85,Ecuador
24,ZUQUINI AMARILLO x kg,0.63,17/09/2020,0.94,85,Ecuador
24,BROCOLI x kg,0.13,17/09/2020,1.3,85,Ecuador
24,PEPINILLO x kg,0.25,17/09/2020,0.77,85,Ecuador
24,QUESO NANDITO 500g,1,17/09/2020,4.08,85,Ecuador
26,PECHUGA POLLO PLATO x kg,0.515,17/09/2020,7.18,538,Ecuador
26,PAPA SUPER CHOLA LAVADA C x kg,1.46,17/09/2020,0.79,538,Ecuador
26,AGUACATE x kg,0.26,17/09/2020,2.05,538,Ecuador
26,CALDO DE GALLINA MAGGI 80g,1,17/09/2020,1.34,538,Ecuador
26,FIDEO INSTANTANEOS LONCHYS POLLO,2,17/09/2020,0.85,538,Ecuador
26,CHOCOLATE MANICHO 28g,4,17/09/2020,0.45,538,Ecuador
27,AGUA VIVANT 1Lt,1,17/09/2020,0.4078,772,Ecuador
29,POLLO PELADO CON MENUDENCIA x kg,2.695,17/09/2020,2.91,180,Ecuador
29,CHULETA DE CERDO x kg,0.58,17/09/2020,6.5475,180,Ecuador
29,TOMATE DE ARBOL x kg (7 - 9 UNIDADES),1.09,17/09/2020,1.0961,180,Ecuador
29,FIDEO SUMESA CONCHITA 400gr,1,17/09/2020,1.3095,180,Ecuador
29,CARNE PURA DE CERDO x kg,0.574,17/09/2020,6.3535,180,Ecuador
29,MANZANA ROYAL x kg,0.67,17/09/2020,1.7557,180,Ecuador
29,ZANAHORIA x kg,0.67,17/09/2020,0.776,180,Ecuador
29,TOMATE TACONAZO HORTANA ,1,17/09/2020,1.6199,180,Ecuador
29,LECHE SEMIDESCREMADA c161 FUNDA TETRAFINO 900ml ,1,17/09/2020,0.9603,180,Ecuador
29,QUESO EL SALTO 500g,1,17/09/2020,2.9003,180,Ecuador
29,FRUTILLA ENVASE x Kg,0.455,17/09/2020,2.7936,180,Ecuador
